"RA","Nome","Email","01-06/02","02-08/02","03-13/02","04-15/02","05-20/02","06-22/02","07-27/02","08-29/02","09-05/03","10-07/03","11-12/03","12-14/03","13-19/03","14-21/03","15-26/03","16-28/03","17-02/04","18-04/04","19-09/04","20-11/04","21-16/04","22-18/04","23-23/04","24-25/04","25-30/04","26-02/05","27-07/05","Acessos_Sem_Filtros","Total_Presencas","Faltas","Conceito"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,48,177,78,80,73,,198,257,101,57,57,62,,,41,113,,,,,,,,,1702,26,10,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,60,,83,67,47,50,52,70,43,121,83,113,,86,76,92,106,124,49,,,,,,,,2071,34,2,"A"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,46,,31,105,52,,,94,196,46,,,39,,81,54,197,121,20,,,,,,,,2251,26,10,"D"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,119,,63,223,166,74,,42,252,81,115,164,180,18,97,149,67,,38,,,,,,,,1895,32,4,"C"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,145,,127,143,202,78,110,27,132,63,80,133,81,42,132,106,247,187,83,,,,,,,,3039,36,0,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,249,,57,234,78,88,8,221,96,33,82,107,79,52,107,193,,106,,,,,,,,,2404,32,4,"A"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,178,,,3,,123,,73,177,,,,,,,,,,,,,,,,,,1106,10,26,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,9,,,268,174,474,66,148,95,234,224,317,285,,173,173,276,237,,,,,,,,,3710,30,6,"A"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,6,,56,118,,87,96,,,98,,94,,22,74,1,23,40,4,,,,,,,,724,26,10,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,150,,73,,134,53,104,186,248,40,114,112,155,42,98,113,132,74,263,,,,,,,,2536,34,2,"A"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,,26,44,14,37,,44,,,20,,,,,,,,,,,,,,,215,12,24,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,84,,36,82,163,156,173,110,138,,109,221,97,141,156,167,262,178,,,,,,,,,2562,32,4,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,108,,98,120,73,106,92,305,163,82,70,138,26,37,42,71,223,96,352,,,,,,,,2647,36,0,"A"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,,,,66,,,,,204,48,,,,,,,,,,,,,,,,,926,6,30,"F"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,59,,36,61,76,50,77,166,412,88,182,155,171,123,157,74,163,,54,,,,,,,,2508,34,2,"D"
"omitido","omitido","omitido@aluno.ufabc.edu.br",,63,,45,178,130,140,112,66,232,109,188,91,68,,96,79,267,125,,,,,,,,,2395,32,4,"F"
